segment_idx,type,start_ms,end_ms,raw_dh_m,corrected_dh_m,estimated_end_alt_m,snapped_floor,snap_distance_m
2,up,1776255544099,1776255577795,-2.022754799483721,-3.739999999999995,45.23724520051628,Floor 10,1.717245200516274
3,outside,1776255577795,1776255583958,-1.7604574387480056,0.0,41.759542561252,Floor 10,1.7604574387480056
4,down,1776255583958,1776255596908,-9.604237150232636,-11.220000000000006,33.91576284976737,Floor 7,1.6157628497673713
12,down,1776255666861,1776255677860,-4.070522902901473,0.0,5.789477097098526,Floor 1,4.070522902901473
14,down,1776255685337,1776255700240,-4.978075765987697,-9.86,4.881924234012303,Ground Floor,4.881924234012303
15,outside,1776255700240,1776255708155,3.694001855804913,0.0,3.694001855804913,Ground Floor,3.694001855804913
16,down,1776255708155,1776255720150,4.175704100557809,0.0,4.175704100557809,Ground Floor,4.175704100557809
17,outside,1776255720150,1776255728104,1.6603960128669968,0.0,1.6603960128669968,Ground Floor,1.6603960128669968
18,up,1776255728104,1776255741613,5.852280355806343,9.86,5.852280355806343,Floor 1,4.007719644193656
38,down,1776256194529,1776256213929,8.024263117247557,9.86,8.024263117247557,Floor 1,1.8357368827524423
52,down,1776256349696,1776256370013,-25.85653959283566,-28.56,2.7034604071643398,Ground Floor,2.7034604071643398
56,up,1776256408985,1776256442400,-20.42604837509101,-18.700000000000003,23.09395162490899,Floor 5,1.7260483750910112
57,outside,1776256442400,1776256451907,-19.28411290165542,-14.96,5.535887098344581,Floor 1,4.324112901655418
58,down,1776256451907,1776256485680,-4.336087891577037,0.0,5.523912108422962,Floor 1,4.336087891577037
