algo,eps_s,n,n_accepted,mae,median_abs,p90_abs,accepted_mae,accept_rate
trapezoid,0.0,488,464,2.1871843116293195,0.35696832725873096,4.3476415557003705,1.2911223662088118,0.9508196721311475
trapezoid,0.25,488,468,2.163895625527306,0.3359305213814412,4.209637928146751,1.2763372859312616,0.9590163934426229
trapezoid,0.5,488,460,2.340502076157266,0.35923793573695306,4.54159280836887,1.366750466761563,0.9426229508196722
trapezoid,0.75,488,446,2.6645049984127227,0.36236939406753566,4.443897545731703,1.285487285181358,0.9139344262295082
trapezoid,1.0,488,448,2.2747062866924397,0.3832966069955712,4.66727931898231,1.3667618526530814,0.9180327868852459
trapezoid,1.25,488,440,3.2952009025670024,0.3737517562940065,5.505135488325863,1.409420980946098,0.9016393442622951
trapezoid,1.5,488,431,4.059578916275073,0.4048494204416948,5.65629296327476,1.5464039539850012,0.8831967213114754
trapezoid,2.0,488,422,4.998338637512429,0.42924732060023363,6.812226864357343,1.5395436037399701,0.8647540983606558
trapezoid,2.5,488,403,5.715235521172406,0.4393660593943163,7.285178567389145,1.757796972430407,0.8258196721311475
trapezoid,3.0,488,392,4.812136389802902,0.45838607425722344,8.323100706165384,2.0175282390464133,0.8032786885245902
zupt,0.0,488,431,3.7854078369440023,0.49039841517766014,4.933637601579369,1.2624457776594955,0.8831967213114754
zupt,0.25,488,422,3.725778881013701,0.44540115228300436,4.631460338700102,1.1125349459619158,0.8647540983606558
zupt,0.5,488,403,4.559020354772165,0.48593808453412546,7.280700692046389,1.230198614629784,0.8258196721311475
zupt,0.75,488,388,4.992322176410493,0.4878848941987908,6.475166021035517,1.1491487855708082,0.7950819672131147
zupt,1.0,488,374,5.80701027359305,0.4985069336387622,6.9909764864455735,1.1043749069501765,0.7663934426229508
zupt,1.25,488,370,6.268035661513707,0.5783070361843718,9.75021793004147,1.0240731335340874,0.7581967213114754
zupt,1.5,488,364,8.03557397677791,0.6764060020039646,9.792301062163073,1.1365396972668034,0.7459016393442623
zupt,2.0,488,352,9.40092561213874,0.8276593902467866,11.777606331053502,1.175232426922558,0.7213114754098361
zupt,2.5,488,342,9.783936985260995,0.8401740551657659,14.036245431806202,1.191370541458192,0.7008196721311475
zupt,3.0,488,328,10.399628536454232,0.9269429454381517,14.474469125339397,1.0999174716573235,0.6721311475409836
